,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
0,tt1480055,tvEpisode,Winter Is Coming,Winter Is Coming,0,2011,\N,62,"Action,Adventure,Drama"
1,tt1668746,tvEpisode,The Kingsroad,The Kingsroad,0,2011,\N,56,"Action,Adventure,Drama"
2,tt1829962,tvEpisode,Lord Snow,Lord Snow,0,2011,\N,58,"Action,Adventure,Drama"
3,tt1829963,tvEpisode,"Cripples, Bastards, and Broken Things","Cripples, Bastards, and Broken Things",0,2011,\N,56,"Action,Adventure,Drama"
4,tt1829964,tvEpisode,The Wolf and the Lion,The Wolf and the Lion,0,2011,\N,55,"Action,Adventure,Drama"
5,tt1837862,tvEpisode,A Golden Crown,A Golden Crown,0,2011,\N,53,"Action,Adventure,Drama"
6,tt1837863,tvEpisode,You Win or You Die,You Win or You Die,0,2011,\N,58,"Action,Adventure,Drama"
7,tt1837864,tvEpisode,The Pointy End,The Pointy End,0,2011,\N,59,"Action,Adventure,Drama"
8,tt1851397,tvEpisode,Fire and Blood,Fire and Blood,0,2011,\N,53,"Action,Adventure,Drama"
9,tt1851398,tvEpisode,Baelor,Baelor,0,2011,\N,57,"Action,Adventure,Drama"
10,tt1971833,tvEpisode,The North Remembers,The North Remembers,0,2012,\N,53,"Action,Adventure,Drama"
11,tt2069318,tvEpisode,The Night Lands,The Night Lands,0,2012,\N,54,"Action,Adventure,Drama"
12,tt2069319,tvEpisode,Garden of Bones,Garden of Bones,0,2012,\N,51,"Action,Adventure,Drama"
13,tt2070135,tvEpisode,What Is Dead May Never Die,What Is Dead May Never Die,0,2012,\N,53,"Action,Adventure,Drama"
14,tt2074658,tvEpisode,The Ghost of Harrenhal,The Ghost of Harrenhal,0,2012,\N,55,"Action,Adventure,Drama"
15,tt2084342,tvEpisode,Blackwater,Blackwater,0,2012,\N,55,"Action,Adventure,Drama"
16,tt2085238,tvEpisode,The Old Gods and the New,The Old Gods and the New,0,2012,\N,54,"Action,Adventure,Drama"
17,tt2085239,tvEpisode,A Man Without Honor,A Man Without Honor,0,2012,\N,56,"Action,Adventure,Drama"
