nconst,profession_id
nm0000293,25
nm0000293,4
nm0000293,1
nm0000596,16
nm0000596,1
nm0000596,4
nm0000980,4
nm0000980,1
nm0000980,12
nm0001097,1
nm0001097,14
nm0001097,4
nm0001290,12
nm0001290,1
nm0001290,14
nm0001354,22
nm0001354,16
nm0001354,1
nm0001671,31
nm0001671,13
nm0001671,2
nm0002103,22
nm0002103,1
nm0002103,16
nm0004355,1
nm0004355,12
nm0004355,14
nm0004692,16
nm0004692,1
nm0004692,21
nm0015382,14
nm0015382,12
nm0015382,1
nm0019885,16
nm0019885,1
nm0019885,4
nm0050520,7
nm0050520,
nm0050520,1
nm0050959,16
nm0050959,4
nm0050959,1
nm0057965,1
nm0057965,7
nm0057965,
nm0064155,1
nm0064155,14
nm0064155,12
nm0065874,22
nm0065874,
nm0065874,1
nm0072855,
nm0072855,1
nm0087432,
nm0087432,22
nm0087432,1
nm0103195,1
nm0103195,23
nm0103195,16
nm0114742,16
nm0114742,2
nm0114742,22
nm0119804,22
nm0119804,2
nm0119804,16
nm0126298,
nm0126298,1
nm0130538,12
nm0130538,1
nm0130538,4
nm0141582,22
nm0141582,1
nm0141582,
nm0162281,
nm0162281,1
nm0162281,4
nm0170799,
nm0170799,1
nm0174005,14
nm0174005,4
nm0174005,1
nm0174449,
nm0174449,1
nm0181920,1
nm0181920,4
nm0181920,16
nm0182666,1
nm0182666,4
nm0182666,12
nm0188871,1
nm0188871,12
nm0188871,14
nm0192377,14
nm0192377,4
nm0192377,1
nm0203801,4
nm0203801,1
nm0203801,
nm0203882,1
nm0203882,22
nm0203882,
nm0204583,4
nm0204583,16
nm0204583,2
nm0214343,
nm0214343,1
nm0225483,2
nm0225483,4
nm0225483,22
nm0226820,22
nm0226820,1
nm0226820,16
nm0227759,3
nm0227759,1
nm0227759,4
nm0231871,16
nm0231871,1
nm0231871,22
nm0234541,1
nm0234541,22
nm0234541,12
nm0243696,1
nm0243696,
nm0265610,2
nm0265610,22
nm0265610,
nm0267256,22
nm0267256,
nm0267256,2
nm0269077,4
nm0269077,1
nm0269077,22
nm0269923,1
nm0269923,8
nm0269923,16
nm0283492,16
nm0283492,4
nm0283492,1
nm0283642,
nm0283642,1
nm0309693,4
nm0309693,12
nm0309693,1
nm0312245,1
nm0312245,
nm0318821,1
nm0318821,4
nm0318821,12
nm0322416,1
nm0322416,
nm0322416,22
nm0322513,16
nm0322513,1
nm0322513,4
nm0341739,7
nm0341739,
nm0341739,1
nm0352901,1
nm0352901,
nm0360171,22
nm0360171,1
nm0360171,
nm0371160,
nm0371160,1
nm0372176,2
nm0372176,4
nm0372176,14
nm0383835,28
nm0383835,7
nm0383835,1
nm0384152,4
nm0384152,12
nm0384152,1
nm0389698,21
nm0389698,
nm0389698,1
nm0396924,4
nm0396924,2
nm0396924,12
nm0404809,4
nm0404809,12
nm0404809,1
nm0408591,16
nm0408591,4
nm0408591,1
nm0424191,16
nm0424191,2
nm0424191,22
nm0428765,
nm0428765,16
nm0428765,1
nm0429956,1
nm0429956,
nm0432837,1
nm0432837,8
nm0432837,18
nm0432838,1
nm0432838,
nm0443373,1
nm0443373,12
nm0443373,8
nm0443825,1
nm0443825,22
nm0443825,
nm0464305,1
nm0464305,4
nm0464305,22
nm0481924,1
nm0481924,
nm0503319,12
nm0503319,1
nm0503319,14
nm0504320,22
nm0504320,
nm0504320,1
nm0516003,1
nm0516003,4
nm0516003,12
nm0516385,12
nm0516385,7
nm0516385,1
nm0523047,
nm0523047,1
nm0534062,
nm0534062,1
nm0534635,4
nm0534635,16
nm0534635,1
nm0535837,22
nm0535837,
nm0535837,1
nm0538869,12
nm0538869,1
nm0538869,4
nm0544139,12
nm0544139,22
nm0544139,1
nm0562003,2
nm0562003,12
nm0562003,14
nm0564516,4
nm0564516,1
nm0564516,
nm0564920,22
nm0564920,1
nm0564920,
nm0565472,
nm0565472,1
nm0568385,1
nm0568385,12
nm0568385,22
nm0568400,1
nm0568400,16
nm0568400,14
nm0570570,1
nm0570570,27
nm0570570,22
nm0571654,1
nm0571654,
nm0574534,14
nm0574534,1
nm0574534,4
nm0580014,1
nm0580014,12
nm0580014,16
nm0597388,4
nm0597388,12
nm0597388,1
nm0610312,2
nm0610312,12
nm0610312,14
nm0622533,1
nm0622533,
nm0628040,4
nm0628040,7
nm0628040,10
nm0634139,
nm0634139,12
nm0634139,1
nm0639569,22
nm0639569,1
nm0639569,
nm0641433,
