profession_id,profession
1,actor
2,actress
3,stunts
4,producer
5,art_department
6,talent_agent
7,miscellaneous
8,composer
9,casting_department
10,assistant_director
11,casting_director
12,writer
13,costume_department
14,director
15,transportation_department
16,soundtrack
17,editor
18,sound_department
19,script_department
20,executive
21,music_department
22,archive_footage
23,location_management
24,visual_effects
25,animation_department
26,set_decorator
27,archive_sound
28,cinematographer
29,production_manager
30,art_director
31,costume_designer
32,camera_department
