nconst,tconst,ordering,category,job,characters
nm0389698,tt0087286,5,actor,,"[""Big Billy""]"
nm0389698,tt0101201,9,actor,,"[""Billy Murray""]"
nm0389698,tt0120087,8,actor,,"[""Col. Reece""]"
nm0389698,tt0122738,9,actor,,"[""Minister""]"
nm0389698,tt0124972,7,actor,,"[""Mr.Ken Campbell""]"
nm0389698,tt0130180,4,actor,,"[""Narrator""]"
nm0389698,tt0130757,7,actor,,"[""Vinz""]"
nm0389698,tt0140934,1,actor,,"[""Lexie""]"
nm0389698,tt0145257,4,actor,,"[""Michael""]"
nm0389698,tt0196250,11,actor,,"[""Big Mervyn""]"
nm0389698,tt0248087,8,actor,,"[""Brickso""]"
nm0389698,tt0248588,5,actor,,"[""Spanish Sailor""]"
nm0389698,tt0252995,3,actor,,
nm0389698,tt0276428,7,actor,,"[""Rafferty""]"
nm0389698,tt0338100,9,actor,,"[""Uncle Jerry""]"
nm0389698,tt0338528,10,actor,,"[""Painter""]"
nm0389698,tt0456080,5,actor,,
nm0389698,tt0488138,9,actor,,"[""Bar Character""]"
nm0389698,tt0488138,10,actor,,"[""Engine repair customer""]"
nm0389698,tt0588731,10,actor,,"[""Big Mervyn""]"
nm0389698,tt0588732,7,actor,,"[""Big Mervyn""]"
nm0389698,tt0588733,8,actor,,"[""Big Mervyn""]"
nm0389698,tt0588735,8,actor,,"[""Big Mervyn""]"
nm0389698,tt0588737,9,actor,,"[""Big Mervyn""]"
nm0389698,tt0588738,4,actor,,"[""Big Mervyn""]"
nm0389698,tt0588739,8,actor,,"[""Big Mervyn""]"
nm0389698,tt0848513,10,actor,,"[""Billy Murray""]"
nm0389698,tt0868147,4,actor,,"[""Big Mervyn""]"
nm0389698,tt0907643,4,actor,,"[""Big Mervyn""]"
nm0389698,tt0970411,10,actor,,"[""Mayor's Guard""]"
nm0389698,tt1086800,10,actor,,"[""Bridget's Husband""]"
nm0389698,tt1183487,9,actor,,"[""Fatboy""]"
nm0389698,tt11864180,2,actor,,"[""Big Mervyn""]"
nm0389698,tt11864208,3,actor,,"[""Big Mervyn""]"
nm0389698,tt11864550,2,actor,,"[""Big Mervyn""]"
nm0389698,tt11864560,2,actor,,"[""Big Mervyn""]"
nm0389698,tt11864612,3,actor,,"[""Big Mervyn""]"
nm0389698,tt11864650,2,actor,,"[""Big Mervyn""]"
nm0389698,tt11864678,2,actor,,"[""Big Mervyn""]"
nm0389698,tt11864694,2,actor,,"[""Big Mervyn""]"
nm0389698,tt11864760,2,actor,,"[""Big Mervyn""]"
nm0389698,tt11864804,2,actor,,"[""Big Mervyn""]"
nm0389698,tt11864822,3,actor,,"[""Big Mervyn""]"
nm0389698,tt11864838,3,actor,,"[""Big Mervyn""]"
nm0389698,tt11864840,1,actor,,"[""Big Mervyn""]"
nm0389698,tt11864844,1,actor,,"[""Big Mervyn""]"
nm0389698,tt11864854,3,actor,,"[""Big Mervyn""]"
nm0389698,tt11864872,3,actor,,"[""Big Mervyn""]"
nm0389698,tt11864878,2,actor,,"[""Big Mervyn""]"
nm0389698,tt11864882,3,actor,,"[""Big Mervyn""]"
nm0389698,tt11864888,1,actor,,"[""Big Mervyn""]"
nm0389698,tt11864898,3,actor,,"[""Big Mervyn""]"
nm0389698,tt11864908,2,actor,,"[""Big Mervyn""]"
nm0389698,tt11865440,4,actor,,"[""Big Mervyn""]"
nm0389698,tt11865470,4,actor,,"[""Big Mervyn""]"
nm0389698,tt11865486,1,actor,,"[""Big Mervyn""]"
nm0389698,tt11865500,4,actor,,"[""Big Mervyn""]"
nm0389698,tt11865552,4,actor,,"[""Big Mervyn""]"
nm0389698,tt11865562,4,actor,,"[""Big Mervyn""]"
nm0389698,tt11865564,3,actor,,"[""Big Mervyn""]"
nm0389698,tt11865588,7,actor,,"[""Big Mervyn""]"
nm0389698,tt11865648,3,actor,,"[""Big Mervyn""]"
nm0389698,tt11865660,3,actor,,"[""Big Mervyn""]"
nm0389698,tt11867412,2,actor,,"[""Big Mervyn""]"
nm0389698,tt11867416,2,actor,,"[""Big Mervyn""]"
nm0389698,tt11867434,2,actor,,"[""Big Mervyn""]"
nm0389698,tt11867442,2,actor,,"[""Big Mervyn""]"
nm0389698,tt11867480,2,actor,,"[""Big Mervyn""]"
nm0389698,tt11867540,2,actor,,"[""Big Mervyn""]"
nm0389698,tt11867552,2,actor,,"[""Big Mervyn""]"
nm0389698,tt11867558,2,actor,,"[""Big Mervyn""]"
nm0389698,tt11867606,2,actor,,"[""Big Mervyn""]"
nm0389698,tt11867608,2,actor,,"[""Big Mervyn""]"
nm0389698,tt11867624,2,actor,,"[""Big Mervyn""]"
nm0389698,tt11867626,2,actor,,"[""Big Mervyn""]"
nm0389698,tt11867634,2,actor,,"[""Big Mervyn""]"
nm0389698,tt11867654,2,actor,,"[""Big Mervyn""]"
nm0389698,tt11884270,4,actor,,"[""Big Mervyn""]"
nm0389698,tt11884298,7,actor,,"[""Big Mervyn""]"
nm0389698,tt11884314,5,actor,,"[""Big Mervyn""]"
nm0389698,tt11884326,4,actor,,"[""Big Mervyn""]"
nm0389698,tt11884342,3,actor,,"[""Big Mervyn""]"
nm0389698,tt11884364,6,actor,,"[""Big Mervyn""]"
nm0389698,tt11884376,4,actor,,"[""Big Mervyn""]"
nm0389698,tt11884396,5,actor,,"[""Big Mervyn""]"
nm0389698,tt11884402,6,actor,,"[""Big Mervyn""]"
nm0389698,tt11884532,4,actor,,"[""Big Mervyn""]"
nm0389698,tt11884544,5,actor,,"[""Big Mervyn""]"
nm0389698,tt11884550,2,actor,,"[""Big Mervyn""]"
nm0389698,tt11884560,5,actor,,"[""Big Mervyn""]"
nm0389698,tt11884568,2,actor,,"[""Big Mervyn""]"
nm0389698,tt1335131,11,actor,,"[""Big Mervyn""]"
nm0389698,tt1338777,8,actor,,"[""Big Mervyn""]"
nm0389698,tt1397699,8,actor,,"[""Sammy""]"
nm0389698,tt1397706,8,actor,,"[""Sammy""]"
nm0389698,tt1397707,7,actor,,"[""Sammy""]"
nm0389698,tt16425278,9,actor,,
nm0389698,tt1723441,5,actor,,"[""First policeman""]"
nm0389698,tt1980111,1,actor,,"[""Alan""]"
nm0389698,tt2224711,6,actor,,"[""Constable Evans""]"
nm0389698,tt2832394,8,actor,,"[""Supt Clifford""]"
nm0389698,tt33999397,4,actor,,"[""Big Mervyn""]"
nm0389698,tt3650490,3,actor,,"[""Big Mervyn""]"
nm0389698,tt5176954,10,actor,,"[""Jim Buchanan""]"
nm0389698,tt5176960,6,actor,,"[""Jim Buchanan""]"
nm0389698,tt8038444,3,actor,,"[""Marcus""]"
nm0269923,tt0062910,7,actor,,"[""The Bloke""]"
nm0269923,tt0064462,9,actor,,"[""Jim""]"
nm0269923,tt0067620,3,actor,,"[""Stephen""]"
nm0269923,tt0067620,16,composer,,
nm0269923,tt0069824,8,actor,,"[""Silvestro""]"
nm0269923,tt0071734,6,actor,,"[""Lyngstrand""]"
nm0269923,tt0079595,3,actor,,"[""Nick Dryden""]"
nm0269923,tt0094545,2,actor,,"[""Edgar Bowker""]"
nm0269923,tt0097015,6,actor,,"[""Edward Hillingdon""]"
nm0269923,tt0105238,4,actor,,"[""Chris Phillips""]"
nm0269923,tt0118497,4,actor,,"[""Commander Stephen Enwright""]"
nm0269923,tt0119956,1,actor,,"[""Hermes""]"
nm0269923,tt0120879,7,actor,,"[""Cecil""]"
nm0269923,tt0188478,5,actor,,"[""The Summoner""]"
nm0269923,tt0190427,5,actor,,"[""Jeff""]"
nm0269923,tt0217506,9,actor,,"[""Valma""]"
nm0269923,tt0251806,10,actor,,"[""Paul Brennan""]"
nm0269923,tt0270854,8,actor,,"[""Unferth""]"
nm0269923,tt0286257,5,actor,,"[""Harry West""]"
nm0269923,tt0338285,1,actor,,"[""Philip Howard""]"
nm0269923,tt0394785,8,actor,,"[""Ian Craigie""]"
nm0269923,tt0397784,3,actor,,"[""Tiarks""]"
nm0269923,tt0399898,3,self,,"[""Self""]"
nm0269923,tt0408403,6,actor,,"[""Rees""]"
nm0269923,tt0426673,3,actor,,"[""Snape""]"
nm0269923,tt0455286,3,actor,,"[""Tom Franke""]"
nm0269923,tt0472160,8,actor,,"[""Jake""]"
nm0269923,tt0472160,9,actor,,"[""Witch""]"
nm0269923,tt0498404,1,actor,,"[""Tim""]"
nm0269923,tt0510133,2,actor,,"[""Dieter Kranz""]"
nm0269923,tt0521637,4,actor,,"[""Gillis""]"
nm0269923,tt0525380,6,actor,,"[""Mickey Owen""]"
nm0269923,tt0526321,9,actor,,"[""Rodney Smithson""]"
nm0269923,tt0530240,1,actor,,"[""John Dewar""]"
nm0269923,tt0533560,4,actor,,"[""David O'Neill""]"
nm0269923,tt0615272,9,actor,,"[""Christopher Weaver""]"
nm0269923,tt0618994,9,actor,,"[""Sir Alan Jackson""]"
nm0269923,tt0653959,6,actor,,"[""Rees""]"
nm0269923,tt0653962,5,actor,,"[""Rees""]"
nm0269923,tt0653964,6,actor,,"[""Rees""]"
nm0269923,tt0653966,4,actor,,"[""Rees""]"
nm0269923,tt0653972,3,actor,,"[""Rees""]"
nm0269923,tt0653973,4,actor,,"[""Rees""]"
nm0269923,tt0709773,10,actor,,"[""Andrew Wilson""]"
nm0269923,tt0709774,8,actor,,"[""Andrew Wilson""]"
nm0269923,tt0709776,6,actor,,"[""Andrew Wilson""]"
nm0269923,tt0733824,3,actor,,"[""Zap""]"
nm0269923,tt0760382,8,actor,,"[""The Summoner""]"
nm0269923,tt0808978,10,actor,,"[""Ronnie Hackett""]"
nm0269923,tt0810823,4,actor,,"[""Gray""]"
nm0269923,tt0812828,9,actor,,"[""Andy Cutler""]"
nm0269923,tt0834624,8,actor,,"[""Harry Hawkins""]"
nm0269923,tt0878614,3,actor,,"[""Naylor""]"
nm0269923,tt0887493,6,actor,,"[""Kenny Keely""]"
nm0269923,tt0964815,5,actor,,"[""Mr. Osborne""]"
nm0269923,tt1027447,5,actor,,"[""Asst. Commissioner Evans""]"
nm0269923,tt1043496,4,actor,,"[""Captain Hobbs""]"
nm0269923,tt1096645,8,actor,,"[""Martin Huston""]"
nm0269923,tt1106225,9,actor,,"[""Michael Lennox""]"
nm0269923,tt1106226,7,actor,,"[""Michael Lennox""]"
nm0269923,tt11475018,2,actor,,"[""The Prisoner""]"
nm0269923,tt1235523,10,actor,,"[""Steve""]"
nm0269923,tt1250030,3,actor,,"[""Commander Stephen Enwright""]"
nm0269923,tt1250032,3,actor,,"[""Commander Stephen Enwright""]"
nm0269923,tt1250033,3,actor,,"[""Commander Stephen Enwright""]"
nm0269923,tt1251269,3,actor,,"[""Edgar Bowker""]"
nm0269923,tt1251270,2,actor,,"[""Edgar Bowker""]"
nm0269923,tt1251271,3,actor,,"[""Edgar Bowker""]"
nm0269923,tt1251272,4,actor,,"[""Edgar Bowker""]"
nm0269923,tt1251273,4,actor,,"[""Edgar Bowker""]"
nm0269923,tt1251274,2,actor,,"[""Edgar Bowker""]"
nm0269923,tt1251275,3,actor,,"[""Edgar Bowker""]"
nm0269923,tt1251459,4,actor,,"[""Edgar Bowker""]"
nm0269923,tt1296065,2,actor,,"[""Paul Macy""]"
nm0269923,tt1317983,3,actor,,"[""Commander Stephen Enwright""]"
nm0269923,tt13635362,2,actor,,
nm0269923,tt1390446,13,actor,,"[""Pedlar""]"
nm0269923,tt1402118,2,actor,,"[""Pedlar""]"
nm0269923,tt1411147,8,actor,,"[""Cardinal Pole""]"
nm0269923,tt1458135,3,actor,,"[""Commander Stephen Enwright""]"
nm0269923,tt1458136,3,actor,,"[""Commander Stephen Enwright""]"
nm0269923,tt1458137,3,actor,,"[""Commander Stephen Enwright""]"
nm0269923,tt1458138,3,actor,,"[""Commander Stephen Enwright""]"
nm0269923,tt1458139,3,actor,,"[""Commander Stephen Enwright""]"
nm0269923,tt1458140,3,actor,,"[""Commander Stephen Enwright""]"
nm0269923,tt1458141,3,actor,,"[""Commander Stephen Enwright""]"
nm0269923,tt1458142,3,actor,,"[""Commander Stephen Enwright""]"
nm0269923,tt1458143,3,actor,,"[""Commander Stephen Enwright""]"
nm0269923,tt1458144,3,actor,,"[""Commander Stephen Enwright""]"
