tconst,averageRating,noOfVotes
tt0055556,7,81
tt0056105,6,587
tt0056696,6,185
tt0057435,6,486
tt0058142,7,1535
tt0058596,7,530
tt0059106,6,3145
tt0059607,6,309
tt0059660,6,237
tt0060039,9,87
tt0060094,5,1937
tt0060532,7,211
tt0060866,6,1182
tt0061170,7,4678
tt0061260,7,26
tt0061279,8,48
tt0061948,6,87
tt0062029,6,565
tt0062168,7,11788
tt0062358,6,880
tt0062384,6,3497
tt0062561,8,11
tt0062746,7,319
tt0063041,5,586
tt0063260,6,1941
tt0063297,6,906
tt0063728,5,302
tt0063946,8,1549
tt0063985,6,203
tt0064000,6,1133
tt0064004,6,457
tt0064045,6,3436
tt0064072,7,25128
tt0064462,7,1217
tt0064471,6,2467
tt0064724,5,195
tt0064757,7,101265
tt0065072,5,189
tt0065085,6,528
tt0065270,8,29
tt0065292,8,281
tt0065689,9,11
tt0065922,6,2088
tt0065967,5,247
tt0066260,4,697
tt0066394,7,62
tt0066420,6,781
tt0066469,5,303
tt0066585,6,2169
tt0066719,8,185
tt0066842,7,1725
tt0066875,5,184
tt0067197,7,989
tt0067217,7,7504
tt0067228,6,76
tt0067243,6,780
tt0067620,6,257
tt0067800,7,65479
tt0067822,6,777
tt0067826,8,13
tt0067952,6,2127
tt0068099,7,189
tt0068662,5,295
tt0069225,7,1706
tt0069273,7,1580
tt0069316,6,2036
tt0069512,7,114
tt0069516,6,1452
tt0069574,7,82
tt0069733,9,916
tt0069803,6,679
tt0069824,7,5032
tt0070291,7,9001
tt0070346,6,489
tt0070351,6,5318
tt0070357,6,192
tt0070592,6,1537
tt0070791,7,12626
tt0071039,8,893
tt0071080,6,1269
tt0071105,8,67
tt0071394,5,236
tt0071461,9,11
tt0071663,6,1161
tt0071697,7,39
tt0071734,7,56
tt0071903,6,139
tt0072211,6,311
tt0072239,6,1807
tt0072502,8,322
tt0072812,6,1033
tt0072842,6,13
tt0073160,8,315
tt0073213,5,338
tt0073275,6,971
tt0073304,6,65
tt0073796,6,2559
tt0073981,7,86
tt0074006,9,19818
tt0074026,7,95
tt0074037,7,27
tt0074108,5,339
tt0074115,6,214
tt0074452,7,25285
tt0075151,7,1081
tt0075492,7,1074
tt0075764,7,854
tt0075862,3,640
tt0076119,5,666
tt0076319,5,927
tt0076541,7,76
tt0076868,6,2223
tt0077020,7,227
tt0077341,5,482
tt0077659,6,184
tt0078259,7,5531
tt0078491,7,264
tt0078583,6,22
tt0078593,8,1104
tt0078601,8,275
tt0078657,8,2908
tt0078666,7,36
tt0078672,7,2534
tt0078984,8,69
tt0079152,5,879
tt0079238,6,343
tt0079285,5,10763
tt0079323,5,16
tt0079450,6,3587
tt0079595,6,54
tt0079738,7,3479
tt0080158,5,276
tt0080180,7,7790
tt0080249,9,928
tt0080469,7,1594
tt0080519,5,188
tt0080568,7,51
tt0080595,6,132
tt0080678,8,263304
tt0080860,7,145
tt0081073,6,1011
tt0081131,8,15
tt0081633,7,70475
tt0081934,7,127
tt0082360,7,645
tt0082398,7,110024
tt0082416,7,15425
tt0082474,7,17098
tt0082779,6,998
tt0082940,6,537
tt0083207,7,142
tt0083228,6,152
tt0083468,8,173
tt0083560,6,985
tt0083656,7,95
tt0083749,6,220
tt0083862,8,106
tt0083908,7,21455
tt0084051,4,241
tt0084058,6,2183
tt0084157,7,5652
tt0084243,6,89
tt0084257,7,51
tt0084531,7,197
tt0084538,5,1004
tt0084911,7,1163
tt0084981,7,96
tt0084988,8,41709
tt0085046,8,15
tt0085513,5,972
tt0085616,6,371
tt0086081,6,462
tt0086122,6,518
tt0086177,6,37
tt0086682,7,17
tt0086735,7,7
tt0086791,8,5123
tt0086798,8,3445
tt0086879,8,436828
tt0086966,8,38
tt0087042,5,4524
tt0087072,7,2396
tt0087106,6,196
tt0087269,5,29
tt0087286,7,360
tt0087414,7,9791
tt0087557,6,237
tt0087561,8,885
tt0087803,7,81771
tt0087852,5,1163
tt0087980,6,6051
tt0088280,6,177
tt0088287,4,157
tt0088407,7,90
tt0088444,5,166
tt0088471,7,553
tt0088484,9,50700
tt0088485,8,430
tt0088514,7,163
tt0088531,7,178
tt0088545,8,56
tt0088553,6,71
tt0088605,7,17
tt0088846,8,213689
tt0089008,7,636
tt0089034,6,1442
tt0089161,6,255
tt0089291,7,46
tt0089350,6,43
tt0089363,6,337
tt0089570,6,68
tt0089596,7,307
tt0089816,6,3450
tt0089944,7,16
tt0090158,6,43
tt0090186,5,870
tt0090317,7,58
tt0090357,7,23780
tt0090431,8,103
tt0090470,6,18
tt0090477,8,4049
tt0090521,8,4878
tt0090547,8,402
tt0090798,6,7185
tt0090858,8,231
tt0091003,5,2571
tt0091129,6,60712
tt0091178,6,8255
tt0091521,7,54
tt0091547,6,180
tt0091574,6,1435
tt0091606,8,19
tt0091864,7,62
tt0091912,8,128
tt0092039,8,207
tt0092191,7,168
tt0092239,7,3235
tt0092319,7,8087
tt0092324,9,47779
tt0092437,8,55
tt0092465,5,12
tt0092471,8,463
tt0092497,8,2553
tt0092735,7,244
tt0093044,6,11348
tt0093103,6,690
tt0093110,6,179
tt0093150,8,18
tt0093159,7,1459
tt0093163,4,541
tt0093489,6,3158
tt0093490,6,264
tt0093562,7,2034
tt0093626,4,1424
tt0093688,7,654
tt0093834,6,51
tt0093868,8,321
tt0093895,5,225
tt0093935,7,1934
tt0093999,6,974
tt0094040,6,194
tt0094275,7,57
tt0094317,6,3311
tt0094336,8,48941
tt0094347,7,2316
tt0094362,6,166
tt0094417,5,65
tt0094435,6,210
tt0094545,8,47
tt0094565,8,64
tt0094576,8,1047
tt0094611,8,92
tt0094616,7,80
tt0094754,8,14124
tt0094791,7,4859
tt0094891,7,86
tt0094907,6,589
tt0095158,7,3675
tt0095243,7,29831
tt0095252,6,627
tt0095298,6,318
tt0095330,8,5964
tt0095388,7,5820
tt0095401,5,201
tt0095537,8,115
tt0095782,7,161
tt0095804,7,96
tt0095823,6,229
tt0095827,7,1547
tt0096180,6,4541
tt0096189,7,1284
tt0096405,5,196
tt0096416,7,962
tt0096464,7,1868
tt0096540,8,5236
tt0096548,9,57790
tt0096568,8,58
tt0096584,7,307
tt0096601,8,478
tt0096656,8,458
tt0096657,9,137490
tt0096700,7,24
tt0096764,7,57654
tt0096818,8,25
tt0097015,7,2467
tt0097040,6,93
tt0097088,8,2302
tt0097108,8,42632
tt0097157,5,188
tt0097199,6,94
tt0097200,5,77
tt0097201,5,80
tt0097352,7,585
tt0097417,6,300
tt0097446,6,507
tt0097491,7,58
tt0097531,7,6701
tt0097576,8,823216
tt0097633,6,93
tt0097667,4,267
tt0097668,6,229
tt0097706,5,148
tt0097763,7,115
tt0097822,7,73
tt0097847,8,8
tt0097891,6,1203
tt0097933,8,375
tt0098160,6,2226
tt0098310,6,403
tt0098622,6,19436
tt0098677,7,135
tt0098695,7,87
tt0098765,9,6298
tt0098766,7,474
tt0098874,8,325
tt0098889,6,166
tt0099003,8,38
tt0099152,5,14
tt0099222,6,195
tt0099238,5,107
tt0099322,7,157
tt0099356,7,744
tt0099362,6,42
tt0099389,6,372
tt0099501,6,246
tt0099566,7,6909
tt0099594,5,258
tt0099695,6,68
tt0099698,7,114
tt0099726,7,23976
tt0099762,6,14392
tt0099765,8,101
tt0099768,7,4726
tt0099854,8,104
tt0100024,7,11496
tt0100056,6,338
tt0100126,7,188
tt0100196,7,4399
tt0100216,8,2403
tt0100257,6,394
tt0100330,7,756
tt0100350,7,505
tt0100361,7,1787
tt0100409,7,4133
tt0100619,6,164
tt0100642,8,24
tt0100813,7,6170
tt0100825,4,139
tt0100940,6,276
tt0100953,7,7
tt0101066,7,637
tt0101134,8,1062
tt0101159,6,17
tt0101201,6,17
tt0101208,8,160
tt0101271,6,227
tt0101300,8,73
tt0101594,6,87
tt0101679,4,28
tt0101750,8,136
tt0101798,7,3105
tt0101809,6,565
tt0101811,7,7265
tt0101894,8,14
tt0101898,7,6499
tt0102012,7,102
tt0102070,6,61251
tt0102111,7,27
tt0102216,5,17181
tt0102236,6,206
tt0102250,7,34856
tt0102290,8,77
tt0102377,6,937
tt0102424,8,63
tt0102447,6,51
tt0102711,8,57
tt0102715,7,1415
tt0102797,6,6012
tt0103003,5,11364
tt0103062,8,46
tt0103235,8,66
tt0103391,8,336
tt0103425,8,106
tt0103427,7,57
tt0103489,7,12
tt0103563,8,14
tt0103644,6,333212
tt0103758,8,21
tt0103822,6,31
tt0103826,7,186
tt0103874,7,245989
tt0103998,7,112
tt0104036,7,60851
tt0104040,7,22823
tt0104177,6,56
tt0104252,6,420
tt0104286,6,223
tt0104294,7,141
tt0104348,8,118937
tt0104666,7,1919
tt0104691,8,192371
tt0104762,7,79
tt0104930,7,1112
tt0104991,7,141
tt0105112,7,122605
tt0105150,6,1341
tt0105151,8,67072
tt0105238,8,22
tt0105344,5,187
tt0105355,8,1258
tt0105663,8,69
tt0105668,3,319
tt0105721,8,37
tt0105790,6,2501
tt0105985,8,76
tt0106060,7,333
tt0106074,7,127
tt0106084,8,832
tt0106138,7,1011
tt0106145,8,72561
tt0106183,9,26
tt0106226,7,69387
tt0106356,7,3458
tt0106402,3,556
tt0106508,7,30
tt0106537,6,422
tt0106574,5,64
tt0106575,7,79
tt0106592,8,71
tt0106638,5,380
tt0106657,7,382
tt0106685,6,350
tt0106961,7,1228
tt0106997,7,203
tt0107042,6,376
tt0107051,6,72
tt0107088,5,509
tt0107141,7,302
tt0107362,6,166587
tt0107702,6,287
tt0107943,8,86687
tt0108022,8,163
tt0108068,7,10
tt0108079,7,54
tt0108107,8,3414
tt0108108,8,4484
tt0108214,8,4752
tt0108247,7,278
tt0108249,6,400
tt0108326,6,44
tt0108395,5,7434
tt0108591,5,155
tt0108633,6,2816
tt0108708,7,55
tt0108726,7,508
tt0108747,8,560
tt0108773,7,53
tt0108826,8,1151
tt0108855,9,8425
tt0108910,8,71
tt0108915,6,3467
tt0109279,7,10841
tt0109294,6,1062
tt0109329,7,18
tt0109348,7,42411
tt0109352,6,501
tt0109416,6,225
tt0109417,6,7996
tt0109610,5,171
tt0109737,7,58
tt0109761,5,793
tt0109769,8,208
tt0109779,6,6360
tt0109920,5,2744
tt0109956,5,318
tt0109985,6,315
tt0110002,6,2135
tt0110125,6,1028
tt0110175,6,1692
tt0110213,6,19256
tt0110223,7,129
tt0110419,6,2184
tt0110420,6,1600
tt0110453,8,21
tt0110455,7,1202
tt0110483,7,35
tt0110523,6,306
tt0110631,7,18954
tt0110656,6,822
tt0110844,8,40
tt0110889,7,11202
tt0110892,6,3045
tt0111035,5,289
tt0111156,8,2918
tt0111157,8,2862
tt0111158,8,2481
tt0111173,5,3120
tt0111205,6,3743
tt0111338,7,77
tt0111416,6,393
tt0111709,7,233
tt0111712,7,1943
tt0111750,7,48
tt0111824,7,103
tt0111890,8,785
tt0111918,8,119
tt0111988,7,186
tt0112109,8,354
tt0112126,8,561
tt0112133,7,796
tt0112161,8,106
tt0112194,8,8311
tt0112281,6,237553
tt0112305,7,445
tt0112573,8,1108285
tt0112637,7,5832
tt0112679,7,9351
tt0112760,6,31214
tt0112775,6,226
tt0112796,7,711
tt0112858,6,175
tt0112966,7,18913
tt0113071,6,79806
tt0113189,7,273689
tt0113214,8,87
tt0113224,6,690
tt0113271,6,415
tt0113288,7,54
tt0113398,6,755
tt0113448,7,5626
tt0113539,7,529
tt0113549,7,28
tt0113670,8,37352
tt0113677,8,20548
tt0113710,7,405
tt0113774,7,1406
tt0113940,6,60
tt0113943,5,234
tt0114117,8,11690
tt0114303,5,2141
tt0114307,6,469
tt0114345,5,16554
tt0114416,8,2369
tt0114417,7,2457
tt0114418,8,2396
tt0114492,6,51
tt0114504,8,73
tt0114567,6,15
tt0114594,7,25289
tt0114821,7,133
tt0114917,6,2574
tt0115113,8,101
tt0115138,4,415
tt0115140,8,781
tt0115230,8,656
tt0115258,7,44
tt0115277,7,803
tt0115288,7,3092
tt0115305,9,2426
tt0115390,8,2658
tt0115433,6,119114
tt0115740,7,110
tt0115976,5,919
tt0115982,8,79
tt0115988,7,40916
tt0116010,8,214
tt0116056,7,681
tt0116102,7,2061
tt0116131,8,55
tt0116160,5,150
tt0116191,7,42430
tt0116250,6,37993
tt0116431,5,120
tt0116473,7,41
tt0116625,6,367
tt0116722,7,11231
tt0116743,6,11497
tt0116908,7,87141
tt0116935,6,62
tt0117039,7,34244
tt0117080,7,551
tt0117364,6,12877
tt0117487,6,83
tt0117520,7,218
tt0117547,6,1230
tt0117582,6,2602
tt0117584,7,109
tt0117620,8,2153
tt0117621,8,2276
tt0117622,8,2215
tt0117674,6,108
tt0117690,7,3043
tt0117951,8,736934
tt0117975,6,295
tt0117991,7,6517
tt0117999,6,525
tt0118002,5,6466
tt0118032,5,564
tt0118169,6,228
tt0118248,6,1700
tt0118274,7,194
tt0118305,8,66
tt0118354,7,1238
tt0118405,7,704
tt0118427,8,89
tt0118483,8,59
tt0118497,8,2280
tt0118498,8,290
tt0118516,8,14
tt0118623,6,6257
tt0118661,4,45882
tt0118691,6,10077
tt0118698,7,8942
tt0118735,6,1183
tt0118743,5,482
tt0118755,6,23934
tt0118910,5,60
tt0119033,7,966
tt0119079,7,8415
tt0119092,7,4876
tt0119125,7,4902
tt0119140,5,105
tt0119164,7,115436
tt0119266,7,87
tt0119431,6,30
tt0119453,6,1572
tt0119512,7,3016
tt0119536,4,76
tt0119690,5,264
tt0119723,6,4317
tt0119843,6,7261
tt0119851,6,469
tt0119873,8,2624
tt0119956,7,87
tt0119964,7,36
tt0119991,7,1629
tt0120001,7,2528
tt0120023,6,641
tt0120087,4,1225
tt0120100,6,1856
tt0120109,7,2000
tt0120110,8,2086
tt0120111,8,2523
tt0120152,6,15368
tt0120199,5,9008
tt0120246,6,87
tt0120273,7,19
tt0120347,6,207097
tt0120423,5,667
tt0120483,7,34926
tt0120490,7,7908
tt0120532,6,754
tt0120584,7,3240
tt0120589,7,427
tt0120595,6,36138
tt0120617,7,4416
tt0120640,6,392
tt0120697,6,897
tt0120731,8,70171
tt0120737,9,2054172
tt0120801,7,6554
tt0120837,6,143
tt0120852,6,304
tt0120873,7,115836
tt0120876,5,430
tt0120879,7,38760
tt0120915,6,874624
tt0120928,8,31
tt0121164,7,306744
tt0121766,8,861827
tt0121974,3,701
tt0122057,7,44
tt0122541,7,16992
tt0122579,8,1092
tt0122590,8,40
tt0122690,7,198196
tt0122697,7,27
tt0122738,6,61
tt0122838,9,14
tt0123215,5,1090
tt0123982,6,227
tt0124035,8,703
tt0124256,7,158
tt0124972,8,15
tt0125482,7,19
tt0126344,7,2312
tt0126388,6,26193
tt0126681,6,73
tt0126915,5,77
tt0126992,8,24
tt0127289,7,149
tt0127319,6,461
tt0127520,6,153
tt0127624,5,763
tt0127933,6,228
tt0128443,7,32
tt0129111,6,446
tt0129858,8,195
tt0130180,8,12
tt0130414,7,22836
tt0130757,5,46
tt0131566,6,10857
tt0132224,7,56
tt0132986,7,15
tt0133297,8,30
tt0133316,9,23
tt0133320,6,24
tt0133367,8,24
tt0134243,6,10
tt0134246,8,87
tt0134259,8,210
tt0134741,8,109
tt0135088,7,26
tt0135093,8,114
tt0135738,8,430
tt0136244,6,6980
tt0136374,8,78
tt0137051,8,30
tt0137279,7,1263
tt0137346,7,105
tt0137390,8,6113
tt0138466,7,94
tt0138590,6,2828
tt0138705,4,158
tt0138739,8,594
tt0138804,7,31
tt0138966,8,668
tt0139105,5,62
tt0139645,4,361
tt0139737,6,65
tt0139806,8,117
tt0140612,7,120
tt0140729,8,15
tt0140743,6,665
tt0140754,8,23
tt0140934,7,87
tt0141109,5,41430
tt0142964,6,760
tt0143031,8,274
tt0143927,7,30
tt0144018,4,390
tt0144060,8,98
tt0144286,6,2104
tt0144622,6,844
tt0144725,8,14
tt0144727,8,2762
tt0144728,7,359
tt0145531,6,73532
tt0146247,6,5051
tt0146316,6,221685
tt0146516,6,1151
tt0147004,7,17314
tt0148349,7,56
tt0148573,7,592
tt0149427,6,225
tt0149467,8,48
tt0149494,8,35
tt0149522,8,20
tt0149542,8,448
tt0149618,5,41
tt0150915,7,10819
tt0151568,7,13657
tt0152057,7,28
tt0152181,6,86
tt0153067,9,484
tt0154443,6,4217
tt0155756,8,18
tt0156122,8,371
